Number of Vehicles Involved,Speed Limit (km/h),Driver Age,Hour,Is_Weekend,High_Risk_Weather,Poor_Visibility,High_Risk_Road,High_Casualty_Count,Has_Fatality,Multi_Vehicle_Accident,Risk_Score,Speed_Category_Encoded,Driver_Age_Group_Encoded,Time_Period_Encoded,Alcohol Involvement_Encoded,Driver Gender_Encoded,Weather Conditions_Foggy,Weather Conditions_Hazy,Weather Conditions_Rainy,Weather Conditions_Stormy,Road Type_State Highway,Road Type_Urban Road,Road Type_Village Road,Road Condition_Dry,Road Condition_Under Construction,Road Condition_Wet,Lighting Conditions_Dawn,Lighting Conditions_Daylight,Lighting Conditions_Dusk,Vehicle Type Involved_Bus,Vehicle Type Involved_Car,Vehicle Type Involved_Cycle,Vehicle Type Involved_Pedestrian,Vehicle Type Involved_Truck,Vehicle Type Involved_Two-Wheeler,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Season_Spring,Season_Summer,Season_Winter,Accident Location Details_Curve,Accident Location Details_Intersection,Accident Location Details_Straight Road
-1.3936062167288443,0.22471399815674745,0.2508028709729553,-0.6264986072844848,0,1,0,1,1,1,0,1.4181325005651162,2,2,0,1,1,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
-1.3936062167288443,-0.5605852326780923,1.5584867517791527,-1.3450289797793542,0,0,0,1,0,1,0,-0.4285945755913023,1,3,3,1,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
-1.3936062167288443,0.6360612143083302,-1.710722950236341,0.66685606320628,1,0,0,1,1,1,0,-0.4285945755913023,2,0,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.406439760792484,-0.8223516429563723,-0.599191651551073,-0.9139107562824326,0,0,0,1,0,1,1,-0.4285945755913023,1,1,0,1,1,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
0.7064282664121518,-0.41100442680478955,0.6431080352148145,1.6727985846990971,0,1,0,1,1,1,1,0.494768962486907,1,2,3,1,1,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.3936062167288443,-0.8971420458930237,-0.9261126217526224,1.3853864357011494,0,1,0,0,1,1,0,-1.3519581136695116,1,1,3,0,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-1.3936062167288443,0.5238756099033531,-1.5799545621557212,-1.632441128777302,1,1,1,1,1,1,0,1.4181325005651162,2,0,3,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
-1.3936062167288443,-1.645046075259538,0.7738764232954343,1.0979742867032016,0,0,0,1,1,1,0,-0.4285945755913023,0,2,2,1,1,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.406439760792484,0.5986660128400045,-0.9914968157929324,-0.1953803837875632,0,1,0,1,1,1,1,0.494768962486907,2,1,0,0,1,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.006416772031819781,0.2995044010933989,-1.3184177859944817,1.6727985846990971,1,0,0,1,1,1,1,0.494768962486907,2,0,3,1,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
-1.3936062167288443,1.15959403486489,-1.645338756196031,0.66685606320628,0,0,0,1,0,1,0,-0.4285945755913023,2,0,1,0,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1.406439760792484,1.047408430459913,-0.07611809922859407,0.09203176521038454,0,0,0,1,1,1,1,0.494768962486907,2,1,1,1,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
1.406439760792484,-1.1589084561713037,-0.5338074575107632,-0.05167430928858933,0,1,0,1,1,1,1,0.494768962486907,0,1,0,1,1,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
-1.3936062167288443,0.0003427893467932053,-0.40303906943014345,-0.6264986072844848,0,1,0,0,0,1,0,-1.3519581136695116,1,1,0,0,1,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
0.006416772031819781,-0.18663321799483532,0.12003448289233555,-1.2013229052803802,0,0,0,0,0,0,1,-1.3519581136695116,1,2,3,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
-0.6935947223485123,1.3839652436748444,0.9700290054163639,-0.48279253278551093,0,1,0,1,1,1,0,1.4181325005651162,2,2,0,1,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
-1.3936062167288443,0.411690005498376,-0.599191651551073,-0.9139107562824326,1,1,1,1,1,1,0,1.4181325005651162,2,1,0,0,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.7064282664121518,0.6734564157766559,-0.7299600396316928,0.3794439142083323,0,0,0,1,0,1,1,0.494768962486907,2,1,1,1,1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1.406439760792484,-0.11184281505818391,-1.645338756196031,0.8105621377052539,0,1,0,1,1,1,1,-0.4285945755913023,1,0,2,0,1,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.6935947223485123,-0.5231900312097667,-0.3376548753898336,0.2357378397093584,0,0,0,1,1,1,0,-0.4285945755913023,1,1,1,1,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
-0.6935947223485123,-0.5231900312097667,1.1661815875372936,1.3853864357011494,0,1,0,1,1,0,0,0.494768962486907,1,3,3,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
1.406439760792484,0.3742948040300503,0.12003448289233555,-1.2013229052803802,0,1,1,1,0,1,1,1.4181325005651162,2,2,3,0,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
-0.6935947223485123,1.6083364524847985,0.7084922292551245,-1.2013229052803802,1,1,1,1,1,1,0,2.3414960386433257,2,2,3,1,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
-1.3936062167288443,1.4587556466114957,0.7084922292551245,0.09203176521038454,0,0,0,1,0,1,0,0.494768962486907,2,2,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.006416772031819781,-1.4580700679179093,0.7738764232954343,0.2357378397093584,1,0,0,0,1,1,1,-1.3519581136695116,0,2,1,1,1,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
-1.3936062167288443,1.1969892363332157,1.4931025577388428,1.2416803612021754,0,1,1,1,1,0,0,2.3414960386433257,2,3,2,1,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
0.006416772031819781,-0.44839962827311525,0.9700290054163639,-0.48279253278551093,0,0,0,0,0,1,1,-2.275321651747721,1,2,0,0,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1.406439760792484,-1.383279664981258,1.427718363698533,0.5231499887073061,0,1,1,1,0,0,1,0.494768962486907,0,3,1,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
-0.6935947223485123,-0.41100442680478955,-0.07611809922859407,-0.05167430928858933,0,1,0,1,0,1,0,0.494768962486907,1,1,0,1,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1.406439760792484,-0.48579482974144095,-0.3376548753898336,-0.6264986072844848,0,1,1,1,0,1,1,0.494768962486907,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
1.406439760792484,-1.5702556723228864,-0.07611809922859407,-0.9139107562824326,0,0,0,1,1,1,1,-0.4285945755913023,0,1,0,1,1,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
-0.6935947223485123,0.6734564157766559,1.4931025577388428,1.5290925102001232,0,0,0,1,0,0,0,0.494768962486907,2,3,3,1,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
0.006416772031819781,1.6083364524847985,-1.122265203873552,1.6727985846990971,1,1,0,1,1,1,1,1.4181325005651162,2,1,3,1,1,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.006416772031819781,-1.495465269386235,0.904644811376054,-1.2013229052803802,1,1,0,1,0,1,1,0.494768962486907,0,2,3,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
-1.3936062167288443,0.0003427893467932053,0.38157125905357503,1.0979742867032016,0,1,1,1,0,1,0,1.4181325005651162,1,2,2,1,1,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.7064282664121518,1.2717796392698673,-1.122265203873552,-1.0576168307814064,0,1,1,1,1,1,1,1.4181325005651162,2,1,3,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0.006416772031819781,1.15959403486489,0.5777238411745047,-0.33908645828653705,0,1,0,0,1,1,1,-0.4285945755913023,2,2,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
-1.3936062167288443,-1.5702556723228864,1.427718363698533,-1.3450289797793542,0,1,1,1,1,1,0,0.494768962486907,0,3,3,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
-1.3936062167288443,-0.5605852326780923,-0.599191651551073,-1.3450289797793542,0,1,0,0,0,1,0,-0.4285945755913023,1,1,3,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
1.406439760792484,0.9352228260549359,0.05465028885202568,-0.7702046817834587,0,1,0,1,1,0,1,1.4181325005651162,2,2,0,1,0,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
-0.6935947223485123,0.7482468187133073,-0.5338074575107632,1.6727985846990971,0,1,0,0,0,0,0,0.494768962486907,2,1,3,1,0,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
-1.3936062167288443,0.14992359522009602,1.2969499756179133,-1.0576168307814064,1,0,0,1,1,1,0,-1.3519581136695116,1,3,3,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1.406439760792484,-1.121513254702978,0.6431080352148145,0.9542682122042278,1,1,0,1,1,1,1,-0.4285945755913023,0,2,2,0,1,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
-1.3936062167288443,0.7108516172449816,-1.187649397913862,-0.33908645828653705,1,0,0,1,0,1,0,-0.4285945755913023,2,1,0,0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
